"contrast","estimate","SE","df","t.ratio","p.value"
"same block1 - different block1",8.78995899020401e-05,1.63472218838018e-05,91.5772917548494,5.37703534746404,3.4099189423209e-06
"same block1 - same block2",-0.000100630834650333,1.30979155507351e-05,139.959252414926,-7.68296560323187,1.47604151123915e-11
"same block1 - different block2",-4.93043857670599e-05,1.7740493329222e-05,49.5708846654834,-2.77920037803267,0.0372813570959789
"different block1 - same block2",-0.000188530424552373,1.57765324154168e-05,48.4097562892276,-11.9500546500409,0
"different block1 - different block2",-0.0001372039756691,1.34744871534796e-05,154.080256656758,-10.1825007591231,3.78586051397178e-14
"same block2 - different block2",5.13264488832733e-05,1.63032795571551e-05,90.6726340669954,3.14822847166031,0.0117278883253119
