"partner_type","block","error","mean_bSubj","sd_bSubj","sem_bSubj","n_bSubj"
"same","1","compound",0.0074838954149299,0.0177115875534041,0.00328895924038184,29
"same","1","phonologically_related",0,0,0,29
"same","1","semantically_related",0.0523276212931385,0.051324536965569,0.00953072724860193,29
"same","1","unrelated",0.156937251764838,0.137888822707725,0.0256053115635466,29
"same","2","compound",0.0123608830505382,0.0197948432078889,0.00367581010365066,29
"same","2","phonologically_related",0,0,0,29
"same","2","semantically_related",0.0387878405119784,0.0352313768356686,0.00654230243594264,29
"same","2","unrelated",0.15487418073625,0.127022555083215,0.0235874963222909,29
"different","1","compound",0.0174273363928536,0.0247117656162585,0.00458885967306317,29
"different","1","phonologically_related",0,0,0,29
"different","1","semantically_related",0.0553941588424347,0.0517247314363994,0.00960504149619936,29
"different","1","unrelated",0.217411898446381,0.119574930230673,0.0222045071066822,29
"different","2","compound",0.017381724278276,0.0264572635903165,0.00491299050964322,29
"different","2","phonologically_related",0,0,0,29
"different","2","semantically_related",0.0588611005852385,0.0504383868833076,0.00936617330940079,29
"different","2","unrelated",0.212477369373921,0.136028903970267,0.0252599333246124,29
