"partner_type","block","emmean","SE","df","lower.CL","upper.CL","emmean_untrans","lower.CL_untrans","upper.CL_untrans"
"same","1",0.000725053034021602,2.24856048566587e-05,64.9437407747459,0.00068014544267549,0.000769960625367714,1379.20945513926,1298.76771233909,1470.27376389717
"different","1",0.00063448619925938,2.32151126994596e-05,63.9473195332356,0.000588107944360105,0.000680864454158654,1576.07840984922,1468.72111459498,1700.36812049539
"same","2",0.000820393239494286,2.26180559446984e-05,66.6863262500025,0.000775243507098791,0.000865542971889782,1218.9276457427,1155.34413943268,1289.91728514092
"different","2",0.000782259469828184,2.27632904083176e-05,67.6326571940659,0.000736831563366323,0.000827687376290046,1278.34821893513,1208.18563704851,1357.16227387349
