"contrast","estimate","SE","df","t.ratio","p.value","p.valueBonf2"
"(HF block1 c_FASQUEL_image_agreement-8.90593133837708e-17) - (LF block1 c_FASQUEL_image_agreement-8.90593133837708e-17)",7.35339849127392e-05,6.09338448985393e-05,23.3722177315669,1.20678393157662,0.239588185540727,0.479176371081454
"(HF block1 c_FASQUEL_image_agreement-8.90593133837708e-17) - (HF block2 c_FASQUEL_image_agreement-8.90593133837708e-17)",-0.000178172824389138,2.56756123815292e-05,161.387642039728,-6.93937974064891,9.06358816325085e-11,1.81271763265017e-10
"(HF block1 c_FASQUEL_image_agreement-8.90593133837708e-17) - (LF block2 c_FASQUEL_image_agreement-8.90593133837708e-17)",-5.05459485456704e-05,6.29734880615534e-05,25.8951717309378,-0.802654420162725,0.429480133936925,0.858960267873849
"(LF block1 c_FASQUEL_image_agreement-8.90593133837708e-17) - (HF block2 c_FASQUEL_image_agreement-8.90593133837708e-17)",-0.000251706809301877,6.03546768816906e-05,22.3453815766854,-4.17046072163193,0.000387147353894425,0.00077429470778885
"(LF block1 c_FASQUEL_image_agreement-8.90593133837708e-17) - (LF block2 c_FASQUEL_image_agreement-8.90593133837708e-17)",-0.00012407993345841,2.68115595387346e-05,178.103389244526,-4.62785215008293,7.09337502548246e-06,1.41867500509649e-05
"(HF block2 c_FASQUEL_image_agreement-8.90593133837708e-17) - (LF block2 c_FASQUEL_image_agreement-8.90593133837708e-17)",0.000127626875843467,6.08958779522243e-05,23.2497657694728,2.09582126303519,0.0471778046711557,0.0943556093423113
