"contrast","estimate","SE","df","t.ratio","p.value"
"HF block1 - LF block1",8.07961084040406e-05,5.85609673452814e-05,22.7286727822448,1.37969217495433,0.181104908814653
"HF block1 - HF block2",-0.000172733723028679,2.60124414621099e-05,144.655318233537,-6.64042716944836,5.88567340152327e-10
"HF block1 - LF block2",-5.25000763865876e-05,6.04602927293131e-05,25.2556032988528,-0.868339765102292,0.393385190808935
"LF block1 - HF block2",-0.00025352983143272,5.88802854044466e-05,23.0009434570509,-4.30585262437559,0.000262692725772114
"LF block1 - LF block2",-0.000133296184790628,2.6863748590504e-05,158.246871654763,-4.96193538818878,1.78627246055636e-06
"HF block2 - LF block2",0.000120233646642092,5.84016473579138e-05,22.4345246541338,2.05873724597598,0.0513152417542967
