"contrast","estimate","SE","df","t.ratio","p.value"
"same block1 - different block1",9.05668347622222e-05,1.73098632618756e-05,88.6184154240554,5.23209417613904,6.57323789321484e-06
"same block1 - same block2",-9.53402054726846e-05,1.37872280233686e-05,78.9448188588873,-6.91511051467985,6.46655085034809e-09
"same block1 - different block2",-5.72064358065827e-05,1.72548021222344e-05,36.7520522980771,-3.31539216742838,0.0106489573060458
"different block1 - same block2",-0.000185907040234907,1.85517355898093e-05,38.7413503465757,-10.0210052765644,1.55264689993828e-11
"different block1 - different block2",-0.000147773270568805,1.45067324301439e-05,93.6953429716633,-10.1865303768713,4.86863771520518e-10
"same block2 - different block2",3.8133769666102e-05,1.71972291633913e-05,87.718294882798,2.21743685007579,0.126531461997085
