"SUBTLEX_frequency_log_cat","block","c_FASQUEL_image_agreement","emmean","SE","df","lower.CL","upper.CL","emmean_untrans","lower.CL_untrans","upper.CL_untrans"
"HF","1",-3.00815677335958e-16,0.000742149273604484,4.67381492473578e-05,31.5427434470578,0.000646892623694183,0.000837405923514785,1347.43782088903,1194.16399134457,1545.851604072
"LF","1",-3.00815677335958e-16,0.000661353165200443,4.53478940576679e-05,33.1884436608171,0.000569112077794084,0.000753594252606802,1512.05143124539,1326.97402685973,1757.12313798728
"HF","2",-3.00815677335958e-16,0.000914882996633163,4.48468706338371e-05,27.6615680626512,0.000822967684601226,0.0010067983086651,1093.0359441372,993.247596259758,1215.11454059652
"LF","2",-3.00815677335958e-16,0.000794649349991071,4.46051293516404e-05,31.4901865330127,0.000703733950588585,0.000885564749393558,1258.4166840522,1129.22290626948,1420.99155392976
